"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","totalTime","subject","experiment_name","button_pressed","success","responses","question_order","currentStim","old","correct"
"null","../img/tt/1024tt.jpg","null","mooney1","image-keyboard-response","91","688968","0.0-6.0-1.12","3411512","coCA","norming","","","","","","",""
"7853.585000000661","","","post_mooney1_questions","survey-likert","92","696824","0.0-6.0-2.12","3411512","coCA","norming","","","{""curiosity"":2,""confidence"":1}","[0,1]","../img/tt/1024tt.jpg","",""
"3734.0550000007497","","","recognition","survey-text","93","700560","0.0-6.0-3.12","3411512","coCA","norming","","","{""guess"":""tennis""}","","../img/tt/1024tt.jpg","",""
"null","../img/gs/1024gs.jpg","null","reveal","image-keyboard-response","94","702569","0.0-6.0-4.12","3411512","coCA","norming","","","","","","",""
"null","../img/tt/1024tt.jpg","null","mooney2","image-keyboard-response","95","704578","0.0-6.0-5.12","3411512","coCA","norming","","","","","","",""
"3801.265000000014","","","post_reveal_questions","survey-likert","96","708381","0.0-6.0-6.12","3411512","coCA","norming","","","{""aha"":6}","[0]","../img/tt/1024tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","97","708588","0.0-6.0-0.13","3411512","coCA","norming","","","","","","",""
"null","../img/tt/1128tt.jpg","null","mooney1","image-keyboard-response","98","711593","0.0-6.0-1.13","3411512","coCA","norming","","","","","","",""
"3817.8399999997346","","","post_mooney1_questions","survey-likert","99","715413","0.0-6.0-2.13","3411512","coCA","norming","","","{""curiosity"":2,""confidence"":1}","[0,1]","../img/tt/1128tt.jpg","",""
"4006.0049999991897","","","recognition","survey-text","100","719421","0.0-6.0-3.13","3411512","coCA","norming","","","{""guess"":""zittende jongen""}","","../img/tt/1128tt.jpg","",""
"null","../img/gs/1128gs.jpg","null","reveal","image-keyboard-response","101","721423","0.0-6.0-4.13","3411512","coCA","norming","","","","","","",""
"null","../img/tt/1128tt.jpg","null","mooney2","image-keyboard-response","102","723428","0.0-6.0-5.13","3411512","coCA","norming","","","","","","",""
"3639.224999998929","","","post_reveal_questions","survey-likert","103","727069","0.0-6.0-6.13","3411512","coCA","norming","","","{""aha"":4}","[0]","../img/tt/1128tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","104","727273","0.0-6.0-0.14","3411512","coCA","norming","","","","","","",""
"null","../img/tt/534tt.jpg","null","mooney1","image-keyboard-response","105","730278","0.0-6.0-1.14","3411512","coCA","norming","","","","","","",""
"5428.90500000061","","","post_mooney1_questions","survey-likert","106","735709","0.0-6.0-2.14","3411512","coCA","norming","","","{""curiosity"":4,""confidence"":0}","[0,1]","../img/tt/534tt.jpg","",""
