"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"1036","<p></p>","","recognized","html-keyboard-response","1708","2680336","0.0-2.0-2.284","GP","2","pretest","true","3528904","78","../img/tt/463tt.jpg","n",""
"null","../img/gs/463gs.jpg","","solution","image-keyboard-response","1709","2682351","0.0-2.0-3.284","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/463tt.jpg","","mooney2","image-keyboard-response","1710","2684357","0.0-2.0-4.284","GP","2","pretest","true","3528904","null","","",""
"762","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1711","2685119","0.0-2.0-5.284","GP","2","pretest","true","3528904","50","../img/tt/463tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1712","2685330","0.0-2.0-0.285","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/411tt.jpg","","mooney1","image-keyboard-response","1713","2688343","0.0-2.0-1.285","GP","2","pretest","true","3528904","null","../img/tt/411tt.jpg","",""
"418","<p></p>","","recognized","html-keyboard-response","1714","2688761","0.0-2.0-2.285","GP","2","pretest","true","3528904","89","../img/tt/411tt.jpg","y",""
"null","../img/gs/411gs.jpg","","solution","image-keyboard-response","1715","2690775","0.0-2.0-3.285","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/411tt.jpg","","mooney2","image-keyboard-response","1716","2692791","0.0-2.0-4.285","GP","2","pretest","true","3528904","null","","",""
"578","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1717","2693370","0.0-2.0-5.285","GP","2","pretest","true","3528904","49","../img/tt/411tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1718","2693574","0.0-2.0-0.286","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/585tt.jpg","","mooney1","image-keyboard-response","1719","2696585","0.0-2.0-1.286","GP","2","pretest","true","3528904","null","../img/tt/585tt.jpg","",""
"474","<p></p>","","recognized","html-keyboard-response","1720","2697059","0.0-2.0-2.286","GP","2","pretest","true","3528904","78","../img/tt/585tt.jpg","n",""
"null","../img/gs/585gs.jpg","","solution","image-keyboard-response","1721","2699068","0.0-2.0-3.286","GP","2","pretest","true","3528904","null","","",""
