,mooney,solution,labelsEn,labelsNl
166,img/tt/167tt.jpg,img/gs/167gs.jpg,"bonsai, tree",
167,img/tt/168tt.jpg,img/gs/168gs.jpg,"buddha, statue",
168,img/tt/169tt.jpg,img/gs/169gs.jpg,spider,
169,img/tt/170tt.jpg,img/gs/170gs.jpg,"jaguar, leopard, puma, cheetah, tiger, panther, lynx, cougar",
170,img/tt/171tt.jpg,img/gs/171gs.jpg,camera,
171,img/tt/172tt.jpg,img/gs/172gs.jpg,"sunflower, flower",
172,img/tt/173tt.jpg,img/gs/173gs.jpg,spider,
173,img/tt/174tt.jpg,img/gs/174gs.jpg,"chopper, helicopter",
174,img/tt/175tt.jpg,img/gs/175gs.jpg,"fly, fruitfly",
175,img/tt/176tt.jpg,img/gs/176gs.jpg,"boat, ship, bateau, yacht, tanker, cruise ship, cruise, ferry",
176,img/tt/177tt.jpg,img/gs/177gs.jpg,"grashopper, cricket, locust, mantis, praying mantis",
177,img/tt/178tt.jpg,img/gs/178gs.jpg,"bird, cormorant",
178,img/tt/179tt.jpg,img/gs/179gs.jpg,"flamingo, flamingos",
179,img/tt/180tt.jpg,img/gs/180gs.jpg,"ewer, can, jug, pitcher, vessel, urn",
180,img/tt/181tt.jpg,img/gs/181gs.jpg,"orca, whale, killer whale, dolphin",
181,img/tt/182tt.jpg,img/gs/182gs.jpg,"bath, tub, bathtub",
182,img/tt/183tt.jpg,img/gs/183gs.jpg,"chair, seat, stool",
183,img/tt/184tt.jpg,img/gs/184gs.jpg,"sandwich, finger, eating, hand, bread",
184,img/tt/185tt.jpg,img/gs/185gs.jpg,"tick, spider",
185,img/tt/186tt.jpg,img/gs/186gs.jpg,"seal, sea lion, walrus",
186,img/tt/187tt.jpg,img/gs/187gs.jpg,owl,
187,img/tt/188tt.jpg,img/gs/188gs.jpg,"sunflower, flower",
188,img/tt/189tt.jpg,img/gs/189gs.jpg,"hammock, person, human",
189,img/tt/190tt.jpg,img/gs/190gs.jpg,"emu, ostrich, bird, turkey, ibis",
190,img/tt/191tt.jpg,img/gs/191gs.jpg,elephant,
191,img/tt/192tt.jpg,img/gs/192gs.jpg,"waterfall, river, cascade, stream",
192,img/tt/193tt.jpg,img/gs/193gs.jpg,butterfly,
193,img/tt/194tt.jpg,img/gs/194gs.jpg,"harp, woman",
194,img/tt/195tt.jpg,img/gs/195gs.jpg,"chicken, cock",
195,img/tt/196tt.jpg,img/gs/196gs.jpg,owl,
196,img/tt/197tt.jpg,img/gs/197gs.jpg,"camel, dromedary",
197,img/tt/198tt.jpg,img/gs/198gs.jpg,"bear, brown bear, grizzly",
198,img/tt/199tt.jpg,img/gs/199gs.jpg,mandolin,
199,img/tt/200tt.jpg,img/gs/200gs.jpg,"bear, arctic bear, polar bear",
200,img/tt/201tt.jpg,img/gs/201gs.jpg,"bath, tub, bathtub",
201,img/tt/202tt.jpg,img/gs/202gs.jpg,"dog, dalmatian, dalmatian dog",
202,img/tt/203tt.jpg,img/gs/203gs.jpg,butterfly,
